Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100711010,,AC_AJCRASE,CR,1,25926.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920553,8776087,24-05-2020,R07,259.26
1100711010,,AC_AJCRASE,CR,1,21068.0,,20200415,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003918697,8745019,15-05-2020,R07,210.68
1100685034,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920318,8777086,24-05-2020,R09,599.00
1100717008,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919404,8771319,24-05-2020,R09,599.00
1100599012,,AC_AJCRASE,CR,1,62926.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919403,8771322,24-05-2020,R09,629.26
1100599012,,AC_AJCRASE,CR,1,51256.0,,20200415,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003918090,8750013,15-05-2020,R09,512.56
1100669036,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919402,8771318,24-05-2020,R09,599.00
1100610016,,AC_AJCRASE,CR,1,60108.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919401,8771316,24-05-2020,R09,601.08
1100677046,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919400,8771328,24-05-2020,R09,599.00
1100685029,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919399,8781105,24-05-2020,R09,599.00
1100615020,,AC_AJCRASE,CR,1,91876.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919398,8781104,24-05-2020,R09,918.76
1100687014,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919397,8771129,24-05-2020,R09,599.00
1100730003,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920557,8784033,24-05-2020,R07,499.00
1100683013,,AC_AJCRASE,CR,1,50019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920567,8781038,24-05-2020,R07,500.19
1100738000,,AC_AJCRASE,CR,1,56177.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920566,8778081,24-05-2020,R07,561.77
1100687006,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919926,8770086,24-05-2020,R04,399.01
1100678006,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919998,8776083,24-05-2020,R04,499.00
1100667000,,AC_AJCRASE,CR,1,28822.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919687,8783053,24-05-2020,R03,288.22
1100674011,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920611,8780041,24-05-2020,R02,399.01
